"Código del Producto","Grupo de Productos","Unidad de Medida (UdM) predeterminada","Permitir Inventario Negativo","Nombre del Producto","Mantener Stock","Precio de venta estándar"
"D003-2","Desechables","Unidad","1","PLATO PANDO 18 A GRANEL X 500","1","83800.0"
"D003-1","Desechables","Unidad","1","PLATO PANDO 18 X 20 PACA X 24","1","89800.0"
"D003","Desechables","Unidad","1","PLATO PANDO 18 X 20","1","3800.0"
"D002-2","Desechables","Unidad","1","PLATO PANDO 15.5 A GRANEL","1","64000.0"
"D002-1","Desechables","Unidad","1","PLATO PANDO 15.5 X 20 PACA X 24","1","69800.0"
"D002","Desechables","Unidad","1","PLATO PANDO 15.5 X 20","1","3200.0"
"D001-2","Desechables","Unidad","1","PLATO.PANDO 12cm A GRANEL","1","36500.0"
"D001-1","Desechables","Unidad","1","P. PANDO 12cm X 20 PACA X 24","1","39800.0"
"D001","Desechables","Unidad","1","PLATO PANDO 12 cm X 20","1","2000.0"
"CI022","Varios","Unidad","1","CINTA PELIGRO X 100 METROS","1","7800.0"
"CI019-1","Varios","Unidad","1","CINTA DOBLE FAZ NANO GEL","1","3500.0"
"CI019","Varios","Unidad","1","CINTA DOBLE FAX ESPUMA","1","2000.0"
"CI018","Varios","Unidad","1","CINTA ANCHA X 200 METROS","1","8500.0"
"CI017","Varios","Unidad","1","CINTA ENMASCARA 2PULG X 200MTS","1","0.0"
"CI013","Varios","Unidad","1","CINTA ENMASCARAR DE 2""","1","5700.0"
"CI012","Varios","Unidad","1","CINTA ENMASCARAR 1""","1","2800.0"
"CI011","Varios","Unidad","1","CINTA ENMASCARAR 1/2PULG","1","1450.0"
"CI010-1","Varios","Unidad","1","CINTA MAGUIVER X 1 X 30 MTS","1","21500.0"
"CI010","Varios","Unidad","1","CINTA MAGUIVER X 1 X 10 MTS","1","0.0"
"CI009","Varios","Unidad","1","CINTA PRECIOS GRANDE","1","4400.0"
"CI008","Varios","Unidad","1","CINTA PRECIOS PEQUEÑA","1","1600.0"
"CI007","Varios","Unidad","1","CINTA MARQUESINA 3 PULGADAS","1","15900.0"
"CI005","Varios","Unidad","1","CINTA TRANSPARENTE  MEDIA PULGADA","1","800.0"
"CI004","Varios","Unidad","1","CINTA ANCHA X 500 METROS","1","20800.0"
"CI003","Varios","Unidad","1","CINTA ANCHA X 300 METROS","1","11700.0"
"CI002","Varios","Unidad","1","CINTA ANCHA X 100 METROS","1","5000.0"
"CI001","Varios","Unidad","1","CINTA ANCHA X 30 METROS","1","2600.0"
"C022","Cargaderas","Unidad","1","T 40 BLANCA  RECUPERADA X 100","1","11200.0"
"C021","Cargaderas","Unidad","1","C7 COLORES X 50 (CUERO DE VACA)","1","10800.0"
"C020-1","Cargaderas","Unidad","1","C7 NEGRA X 50 (CUERO DE VACA)","1","9800.0"
"C020","Cargaderas","Unidad","1","C7 NEGRA X 1   (CUERO DE VACA)","1","300.0"
"C019","Cargaderas","Unidad","1","C5 NEGRA (CHINCHAN)","1","11800.0"
"C018","Cargaderas","Unidad","1","T40 NEGRA BIODEGRADABLE","1","10900.0"
"C017","Cargaderas","Unidad","1","T40 NEGRA RECUPERADA","1","10400.0"
"C016","Cargaderas","Unidad","1","T60 NARANJA X 100","1","12400.0"
"C015","Cargaderas","Unidad","1","T30 G X S C","1","9500.0"
"C014","Cargaderas","Unidad","1","T30 BLANCA RECUPERADA","1","9300.0"
"C013-1","Cargaderas","Unidad","1","T30 NEGRA RECUPERADA X 100","1","7700.0"
"C013","Cargaderas","Unidad","1","T30 NEGRA RECUPERADA X 1","1","100.0"
"C012","Cargaderas","Unidad","1","T30 NEGRA ORIGINAL","1","8100.0"
"C011","Cargaderas","Unidad","1","T25 G X S C","1","5100.0"
"C010","Cargaderas","Unidad","1","T25 BLANCA RECUPERADA","1","4400.0"
"C008","Cargaderas","Unidad","1","T25 NEGRA RECUPERADA","1","4200.0"
"C007","Cargaderas","Unidad","1","T20 G X SC (gracias por su compra)","1","4100.0"
"C006","Cargaderas","Unidad","1","T20 BLANCA RECUPERADA","1","3500.0"
"C005","Cargaderas","Unidad","1","T20 NEGRA RECUPERADA","1","3300.0"
"C004","Cargaderas","Unidad","1","T15 BLANCA RECUPERADA","1","3700.0"
"C003","Cargaderas","Unidad","1","T15 NEGRA RECUPERADA","1","3700.0"
"C002-1","Cargaderas","Unidad","1","MANIGRUESA X 1000","1","105000.0"
"C002","Cargaderas","Unidad","1","MANIGRUESA X 50","1","6900.0"
"C001-1","Cargaderas","Unidad","1","MANIGUETA RAYADA X 50","1","4900.0"
"C001","Cargaderas","Unidad","1","MANIGUETA RAYADA X 1","1","200.0"
"BP016","Bolsas de Papel","Unidad","1","PAPEL ENVOLTURA RESMA","1","6450.0"
"BP014","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL (CUBIERTO)","1","4200.0"
"BP013","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 12 LIBRAS","1","17800.0"
"BP012","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 6 LIBRAS","1","11900.0"
"BP011","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 4 LIBRAS","1","8400.0"
"BP010","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 3 LIBRAS","1","7300.0"
"BP009","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 2 LIBRAS","1","5600.0"
"BP008","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 1 LIBRA","1","4200.0"
"BP007","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL MEDIA LIBRA","1","3500.0"
"BP006-1","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 115 BCA","1","11900.0"
"BP006","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 114 BCA","1","8200.0"
"BP005","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 112 BCA","1","5000.0"
"BP004-1","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 109 BCA","1","3500.0"
"BP004","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 107 BCA FARMACIA","1","3100.0"
"BP003","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 106 BCA FARMACIA","1","2600.0"
"BP002","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 105 BCA   FARMACIA","1","1800.0"
"BP001","Bolsas de Papel","Unidad","1","BOLSA DE PAPEL 104 BCA FARMACIA","1","1500.0"
"BO037","Bolsas Blancas","Unidad","1","24 X 34 X 100 BLANCA BIODEGRADABLE","1","14400.0"
"BO011","Bolsas Blancas","Unidad","1","20 X 30 BLANCA BIODEGRADABLE","1","14800.0"
"BO010","Bolsas Blancas","Unidad","1","18 X 24 BLANCA BIODEGRADABLE","1","10400.0"
"BO008","Bolsas Blancas","Unidad","1","15 X 22 BLANCA BIODEGRADABLE","1","7600.0"
"BO007","Bolsas Blancas","Unidad","1","14 X 20 BLANCA BIODEGRADABLE","1","5400.0"
"BO006","Bolsas Blancas","Unidad","1","12 X 16 BLANCA BIODEGRADABLE","1","3700.0"
"BO005","Bolsas Blancas","Unidad","1","10 X 14 BLANCA BIODEGRADABLE","1","2800.0"
"BO004","Bolsas Blancas","Unidad","1","8 X 12 BLANCA BIODEGRADABLE","1","2200.0"
"BO003","Bolsas Blancas","Unidad","1","7 X 10 BLANCA BIODEGRADABLE","1","1600.0"
"BO002","Bolsas Blancas","Unidad","1","6 X 8 BLANCA BIODEGRADABLE","1","1300.0"
"BO001","Bolsas Blancas","Unidad","1","4 X 6 X 500 BLANCA BIODEGRADABLE","1","6900.0"
"BH018","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 20 X 10 cm","1","5200.0"
"BH017","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 20 X 24 cm","1","12200.0"
"BH016","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 30 X 40 cm","1","24500.0"
"BH015","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 25 X 35 cm","1","18300.0"
"BH014","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 20 X 30 cm","1","12900.0"
"BH013","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 20 X 20 cm","1","9800.0"
"BH012","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 18 X 18 cm","1","9200.0"
"BH011","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 14 X 18 cm","1","6200.0"
"BH010","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 14 X 14 cm","1","5600.0"
"BH009","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 10 X 14 cm","1","4000.0"
"BH008","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 15 X 24 cm","1","8800.0"
"BH007","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 8 X 10 cm","1","2700.0"
"BH006","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 7.5 X 14 cm","1","3900.0"
"BH005","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 6 X 9 cm","1","2500.0"
"BH004","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 5 X 9 cm","1","2000.0"
"BH003","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 5 X 6 cm","1","1800.0"
"BH002","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 4 X 4 cm","1","1500.0"
"BH001","Bolsas Cierre Hermético","Unidad","1","BOLSA CIERRE 3 X 4 cm","1","1200.0"
"BT006","Bolsa Troquelada","Unidad","1","18 X 24 X 100 TROQUELADA COLORES","1","49800.0"
"BT005","Bolsa Troquelada","Unidad","1","15 X 18 X 100 TROQUELADA COLORES","1","41800.0"
"BT004","Bolsa Troquelada","Unidad","1","11 X 15 X 100 TROQUELADA COLORES","1","25200.0"
"BT003","Bolsa Troquelada","Unidad","1","8 X 12 FUCSIA X 100 TROQUELADA","1","0.0"
"BT002","Bolsa Troquelada","Unidad","1","8 X 12 X 100 COLORES TROQUELADA","1","14200.0"
"BT001","Bolsa Troquelada","Unidad","1","7 X 9 X 100 COLORES TROQUELADA","1","10200.0"
"BC035-1","Bolsas de Colores","Unidad","1","18 X 18 ROJA X 20","1","1700.0"
"BC035","Bolsas de Colores","Unidad","1","18 X 18 ROJA X100","1","7800.0"
"BC034-1","Bolsas de Colores","Unidad","1","32 X 50 AZUL X 10","1","0.0"
"BC034","Bolsas de Colores","Unidad","1","32 X 50 AZUL X 50","1","0.0"
"C030","Cargaderas","Unidad","1","T60 NEGRA X 100","1","12500.0"
"BC029","Bolsas de Colores","Unidad","1","BOLSA PLATANO X 10 (VERDE-AZUL)","1","6500.0"
"BC028","Bolsas de Colores","Unidad","1","BOLSA PLATANO X 25 (VERDE-AZUL)","1","15200.0"
"BC036-2","Bolsas de Colores","Unidad","1","32 X 50 BLANCA CALIBRE 3 X 25","1","40800.0"
"BC036-1","Bolsas de Colores","Unidad","1","32 X 50 BLANCA X 10","1","9000.0"
"BC036","Bolsas de Colores","Unidad","1","32 X 50 BLANCA X 50","1","44300.0"
"BC027-1","Bolsas de Colores","Unidad","1","32 X 50 GRIS X 10","1","0.0"
"BC027","Bolsas de Colores","Unidad","1","32 X 50 GRIS X 50","1","0.0"
"BC026-1","Bolsas de Colores","Unidad","1","32 X 50 VERDE X 10","1","9000.0"
"BC026","Bolsas de Colores","Unidad","1","32 X 50 VERDE X 50","1","44300.0"
"BC025-2","Bolsas de Colores","Unidad","1","32 X 50 ROJA CALIBRE 3 X 25","1","40800.0"
"BC025-1","Bolsas de Colores","Unidad","1","32 X 50 ROJA X 10","1","9000.0"
"BC025","Bolsas de Colores","Unidad","1","32 X 50 ROJA X 50","1","44300.0"
"BC022-1","Bolsas de Colores","Unidad","1","24 X 34 GRIS CALIBRE 1.5 X 10","1","6500.0"
"BC022","Bolsas de Colores","Unidad","1","24 X 34 GRIS CALIBRE 1.5 X 50","1","27300.0"
"BC021-1","Bolsas de Colores","Unidad","1","24 X 34 VERDE CALIBRE 1.5 X 10","1","6900.0"
"BC021","Bolsas de Colores","Unidad","1","24 X 34 VERDE CALIBRE 1.5 X 50","1","31400.0"
"BC020-1","Bolsas de Colores","Unidad","1","24 X 34 ROJA CALIBRE 1.5 X 10","1","6900.0"
"BC020","Bolsas de Colores","Unidad","1","24 X 34 ROJA CALIBRE 1.5 X 50","1","31400.0"
"BC017-1","Bolsas de Colores","Unidad","1","24 X 25 VERDE CALIBRE 1.5 X 10","1","5200.0"
"BC017","Bolsas de Colores","Unidad","1","24 X 25 VERDE CALIBRE 1.5 X 50","1","24000.0"
"BC016-1","Bolsas de Colores","Unidad","1","24 X 25 GRIS CALIBRE 1.5 X 10","1","5200.0"
"BC016","Bolsas de Colores","Unidad","1","24 X 25 GRIS CALIBRE 1.5 X 50","1","0.0"
"BC015-1","Bolsas de Colores","Unidad","1","24 X 25 ROJA CALIBRE 1.5 X 10","1","5200.0"
"BC015","Bolsas de Colores","Unidad","1","24 X 25 ROJA CALIBRE 1.5 X 50","1","24000.0"
"BC013-1","Bolsas de Colores","Unidad","1","18 X 24 GRIS CALIBRE 1.5 X 10","1","3800.0"
"BC013","Bolsas de Colores","Unidad","1","18 X 24 GRIS CALIBRE 1.5  X 50","1","15800.0"
"BC012-1","Bolsas de Colores","Unidad","1","18 X 24 VERDE CALIBRE 1.5 X 10","1","4400.0"
"BC012","Bolsas de Colores","Unidad","1","18 X 24 VERDE CALIBRE 1.5 X 50","1","18200.0"
"BC011-1","Bolsas de Colores","Unidad","1","18 X 24 ROJA CALIBRE 1.5 X 10","1","4400.0"
"BC011","Bolsas de Colores","Unidad","1","18 X 24 ROJA CALIBRE 1.5 X 50","1","18200.0"
"BC010-1","Bolsas de Colores","Unidad","1","18 X 24 GRIS X 20","1","2600.0"
"BC010","Bolsas de Colores","Unidad","1","18 X 24 GRIS X 100","1","10800.0"
"BC009-1","Bolsas de Colores","Unidad","1","18 X 24 VERDE X 20","1","2600.0"
"BC009","Bolsas de Colores","Unidad","1","18 X 24 VERDE X 100","1","10800.0"
"BC008-1","Bolsas de Colores","Unidad","1","18 X 24 ROJA X 20","1","2600.0"
"BC008","Bolsas de Colores","Unidad","1","18 X 24 ROJA X 100","1","10800.0"
"BC007","Bolsas de Colores","Unidad","1","10 X 14 ROJA O VERDE","1","7600.0"
"BA008-1","Bolsas Basura Negras","Unidad","1","PAPEL PARAFINADO X100 HOJAS 30X30 CM","1","13900.0"
"BA008","Bolsas Basura Negras","Unidad","1","PAPEL PARAFINADO X100 HOJAS 15X15 CM","1","3600.0"
"BA007","Bolsas Basura Negras","Unidad","1","ROLLO PARAFINADO 10MTS BLANCO","1","4200.0"
"BA006","Bolsas Basura Negras","Unidad","1","12 X 16 ALUMINIO X 100","1","11200.0"
"BA005","Bolsas Basura Negras","Unidad","1","10 X 14 ALUMINIO X 100","1","8500.0"
"BA004","Bolsas Basura Negras","Unidad","1","8 X 12 ALUMINIO X 100","1","5600.0"
"BA003","Bolsas Basura Negras","Unidad","1","7 X 10 ALUMINIO X 100","1","4100.0"
"BA002","Bolsas Basura Negras","Unidad","1","6 X 9 ALUMINIO  X 100","1","3100.0"
"BA001","Bolsas Basura Negras","Unidad","1","6 X 6 ALUMINIO ABIERTA X 100","1","2400.0"
"AP021","Aseo Personal","Unidad","1","PAPEL HIGIENICO ELITE X 30","1","42300.0"
"AP020-1","Aseo Personal","Unidad","1","CEPILLO DE DIENTES PRO X 14 (425)","1","56600.0"
"AP020","Aseo Personal","Unidad","1","CEPILLO DE DIENTES PRO X 1 (425)","1","4300.0"
"AP018","Aseo Personal","Unidad","1","PAPEL HIGIENICO SCOTT 2 EN 1 X 30 UND","1","40600.0"
"AP017","Aseo Personal","Unidad","1","HOJA DORCO UNIDAD","1","1500.0"
"AP016-1","Aseo Personal","Unidad","1","PAPEL HIGIENICO SCOTT X 12","1","21800.0"
"AP016","Aseo Personal","Unidad","1","TOALLA MANOS NUBE NATURAL EN Z","1","7900.0"
"AP013-1","Aseo Personal","Unidad","1","DISPENSADOR(ROLLO DE 250M)","1","58500.0"
"AP013","Aseo Personal","Unidad","1","PAPEL HIGIENICO 250 METROS","1","14800.0"
"AP010-1","Aseo Personal","Unidad","1","PAPEL HIGIENICO MAXI X 24 SCOTT","1","50900.0"
"AP009","Aseo Personal","Unidad","1","HOJA MINORA X 50 BARBEROS","1","16800.0"
"AP007","Aseo Personal","Unidad","1","HOJA DORCO X 30 (BARBEROS)","1","6800.0"
"AP006","Aseo Personal","Unidad","1","CREMA DENTAL SENSODYNE","1","19900.0"
"AP005","Aseo Personal","Unidad","1","HOJA MINORA UNIDAD","1","3000.0"
"AP004-1","Aseo Personal","Unidad","1","PRESTOBARBA GILLETE 3 HOJAS X 10","1","46300.0"
"AP004","Aseo Personal","Unidad","1","PRESTOBARBA  GILLETE 2 HOJAS X 12","1","39800.0"
"AP003-2","Aseo Personal","Unidad","1","PRESTOBARBA GILLETE X UNIDAD","1","4900.0"
"AP003-1","Aseo Personal","Unidad","1","PRESTOBARBA VENUS X 8 UNIDADES","1","40400.0"
"AP003","Aseo Personal","Unidad","1","PRESTOBARBA DORCO 2 HOJAS X 24","1","13700.0"
"AL020","Almacigo","Unidad","1","13 X 21 X 500 CON FUELLE","1","9750.0"
"AL019","Almacigo","Unidad","1","15 X 23 X 200 CON FUELLE   cms","1","3450.0"
"AL018","Almacigo","Unidad","1","13 X 21 X 200 CON FUELLE cms","1","3900.0"
"AL017","Almacigo","Unidad","1","8+2+2 X 14 (FRUTALES)","1","7400.0"
"AL016","Almacigo","Unidad","1","6 X 9 X 200 ALMACIGO","1","3900.0"
"AL015","Almacigo","Unidad","1","6 X 8 X 200 ALMACIGO","1","3700.0"
"AL014","Almacigo","Unidad","1","BOLSA DE CACAO 13 X 30 CM X 50 UNDS","1","8500.0"
"AL013","Almacigo","Unidad","1","5 X 9 X 200 CON FUELLE","1","2950.0"
"AL012","Almacigo","Unidad","1","5 X 9 X 200 ALMACIGO","1","3600.0"
"AL011","Almacigo","Unidad","1","5 X 9 X 100 ALMACIGO","1","1800.0"
"AL010","Almacigo","Unidad","1","5 X 8 X 200 ALMACIGO","1","3300.0"
"AL009","Almacigo","Unidad","1","5 X 7 X 200 ALMACIGO","1","2900.0"
"AL008","Almacigo","Unidad","1","10 X 17 CM X 1000 UND","1","7850.0"
"AL007","Almacigo","Unidad","1","4 X 9 X 200 ALMACIGO","1","3200.0"
"AL006","Almacigo","Unidad","1","4 X 8 X 500","1","5500.0"
"AL005","Almacigo","Unidad","1","4 X 8 X 200","1","2200.0"
"AL004","Almacigo","Unidad","1","4 X 6 X 500 ALMACIGO","1","5500.0"
"AL003","Almacigo","Unidad","1","4 X 6 X 200 ALMACIGO","1","2500.0"
"AL001","Almacigo","Unidad","1","3 X 4 X 200 (LULO)","1","2200.0"
"2","Varios","Unidad","1","Servicios profesionales / tecnicos / otros","1","0.0"
"1","Varios","Unidad","1","Producto genérico","1","0.0"
